Clause,Count,Description
5,2588,The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema
6.2,383,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true"
7.1,6586,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document"
7.10,136,"Each optional content configuration dictionary that forms the value of the D key, or that is an element in the array that forms the value of the Configs key in the OCProperties dictionary, shall contain the Name key"
7.11,9,The file specification dictionary for an embedded file shall contain the non-empty F and UF keys
7.15,2,Dynamic XFA forms shall not be used
7.18.1,1435,A form field shall have a TU key present or all its Widget annotations shall have alternative descriptions (in the form of an Alt entry in the enclosing structure elements)
7.18.3,181,"Every page on which there is an annotation shall contain in its page dictionary the key Tabs, and its value shall be S"
7.18.4,180,"If the Form element omits a Role attribute (Table 348), it shall have only one child: an object reference (14.7.4.3) identifying the widget annotation per ISO 32000-1:2008, 14.8.4.5, Table 340"
7.18.5,1063,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
7.2,18857,Table rows shall have the same number of columns (taking into account column spans)
7.20,13,"The content of Form XObjects shall be incorporated into structure elements according to ISO 32000-1:2008, 14.7.2"
7.21.3.2,34,"ISO 32000-1:2008, 9.7.4, Table 117 requires that all embedded Type 2 CIDFonts in the CIDFont dictionary shall contain a CIDToGIDMap entry that shall be a stream mapping from CIDs to glyph indices or the name Identity, as described in ISO 32000-1:2008, 9.7.4, Table 117"
7.21.4.1,447,"The font programs for all fonts used for rendering within a conforming file shall be embedded within that file, as defined in ISO 32000-1:2008, 9.9"
7.21.4.2,299,"If the FontDescriptor dictionary of an embedded CID font contains a CIDSet stream, then it shall identify all CIDs which are present in the font program, regardless of whether a CID in the font is referenced or used by the PDF or not"
7.21.5,308,"For every font embedded in a conforming file and used for rendering, the glyph width information in the font dictionary and in the embedded font program shall be consistent"
7.21.6,11,"All non-symbolic TrueType fonts shall have either MacRomanEncoding or WinAnsiEncoding as the value for the Encoding key in the Font dictionary or as the value for the BaseEncoding key in the dictionary which is the value of the Encoding key in the Font dictionary. In addition, no non-symbolic TrueType font shall define a Differences array unless all of the glyph names in the Differences array are listed in the Adobe Glyph List and the embedded font program contains at least the Microsoft Unicode (3,1 – Platform ID=3, Encoding ID=1) encoding in the 'cmap' table"
7.21.7,555,"The Font dictionary of all fonts shall define the map of all used character codes to Unicode values, either via a ToUnicode entry, or other mechanisms as defined in ISO 14289-1, 7.21.7"
7.21.8,279,"A PDF/UA compliant document shall not contain a reference to the .notdef glyph from any of the text showing operators, regardless of text rendering mode, in any content stream"
7.3,133,"Figure tags shall include an alternative representation or replacement text that represents the contents marked with the Figure tag as noted in ISO 32000-1:2008, 14.7.2, Table 323"
7.4.2,102,"For documents that are not strongly structured, as described in ISO 32000-1:2008, 14.8.4.3.5, heading tags shall be used as follows: (*) If any heading tags are used, H1 shall be the first. (*) A document may use more than one instance of any specific tag level. For example, a tag level may be repeated if document content requires it. (*) If document semantics require a descending sequence of headers, such a sequence shall proceed in strict numerical order and shall not skip an intervening heading level. (*) A document may increment its heading sequence without restarting at H1 if document semantics require it"
7.5,2982,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute"
7.9,113,Note tag shall have ID entry
